#,temperature,rate(Mg s^-1 cm^-2)
0,300.00000000000000,5.66346491670107E-33
1,400.00000000000000,3.50853888157188E-17
2,500.0,2.26848834524699E-08
3,600.0000000000000,0.037829927542653600
4,700.0,1059.756469000240
5,800.0000000000000,1828810.8790898900
6,900.0,712584792.245794
7,1000.0,59791135764.068100
8,1100.0,5511328486894.070
9,1200.0000000000000,124570486433127.0
10,1300.0,1540365242008718.8
11,1400.0,2.26801674995167E+16
12,1500.0000000000000,2.11914237176115E+17
13,1600.0000000000000,4.23378549131896E+17
14,1700.0000000000000,6.00202151242095E+18
15,1800.0,1.22012918121067E+19
16,1900.0000000000000,3.74762420539355E+19
17,2000.0,7.14147244200263E+19
18,2100.0000000000000,2.14443683795116E+20
19,2200.0,1.41690482711761E+21
20,2300.0000000000000,1.77443220047279E+21
21,2400.0000000000000,7.74126253560787E+21
22,2500.0,1.09240649395637E+22
23,2600.0,2.64251799919696E+22
24,2700.0,5.44154699882859E+22
25,2800.0,9.32640091851907E+22
26,2900.0000000000000,1.00506730293138E+23
27,3000.0000000000000,1.48811217637513E+23
28,3100.0000000000000,2.19996898054646E+23
29,3200.0000000000000,3.52762447835103E+23
30,3300.0000000000000,4.79731309790662E+23
31,3400.0000000000000,6.3333862108351E+23
32,3500.0,1.11977813572089E+24
